year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
1996,4,0,1,0.27,0.19,0.07,73.38
2006,2,0,1,0.27,0.19,0.07,63.77
2010,3,0,1,0.27,0.19,0.07,66.67
1994,2,0,0,0.31,0.32,0.13,58.85
1998,2,1,0,0.31,0.32,0.13,51.83
2004,4,1,0,0.31,0.32,0.13,46.57
2010,2,1,0,0.31,0.32,0.13,51.34
1988,2,0,0,0.29,0.39,0.12,59.13
1988,2,0,0,0.5,0.14,0.03,38.19
2000,3,0,0,0.5,0.14,0.03,45.56
2004,2,0,1,0.5,0.14,0.03,46.08
2000,2,0,0,0.51,0.33,0.02,52.1
1994,2,0,0,0.32,0.38,0.13,78.35
1997,3,1,0,0.32,0.38,0.13,50.63
2002,3,1,1,0.32,0.38,0.13,64.23
2006,2,1,0,0.32,0.38,0.13,62.35
2010,3,1,0,0.32,0.38,0.13,57.87
1990,1,0,1,0.23,0.45,0.13,66.14
1998,2,0,0,0.23,0.45,0.13,52.54
1990,2,0,1,0.28,0.36,0.14,82.11
1994,2,0,1,0.28,0.36,0.14,72.56
2002,2,0,0,0.28,0.36,0.14,57.97
2006,2,0,0,0.28,0.36,0.14,56.75
2010,2,0,0,0.28,0.36,0.14,58.85
1988,2,0,0,0.23,0.23,0.07,82.7
1992,2,0,0,0.23,0.23,0.07,73.88
1999,2,0,0,0.23,0.23,0.07,71.95
1990,2,0,1,0.34,0.28,0.15,76.25
1994,2,0,1,0.34,0.28,0.15,68.1
1998,2,0,1,0.34,0.28,0.15,43.81
2002,2,0,1,0.34,0.28,0.15,61.13
2006,2,0,1,0.34,0.28,0.15,61.72
2008,2,0,0,0.32,0.15,0.09,43.83
1994,6,1,1,0.05,0.39,0.2,33.58
2002,5,1,1,0.05,0.39,0.2,23.17
2006,3,1,1,0.05,0.39,0.2,16.07
2010,7,1,1,0.05,0.39,0.2,18.84
1990,2,0,0,0.42,0.08,0.06,85.2
1994,2,0,0,0.42,0.08,0.06,67.92
1998,4,0,0,0.42,0.08,0.06,64.99
2002,3,0,0,0.42,0.08,0.06,69.04
2004,3,0,0,0.42,0.08,0.06,61.65
2006,2,0,0,0.42,0.08,0.06,64.11
1990,2,0,0,0.34,0.19,0.04,74.43
2002,2,0,1,0.34,0.19,0.04,47.68
2006,2,0,1,0.34,0.19,0.04,41.16
2010,2,0,1,0.34,0.19,0.04,39.62
1990,2,1,0,0.21,0.44,0.12,78.31
1994,3,1,1,0.21,0.44,0.12,65.26
1998,2,1,1,0.21,0.44,0.12,53.12
2002,3,1,1,0.21,0.44,0.12,58.76
2006,5,1,1,0.21,0.44,0.12,61.72
2010,3,1,1,0.21,0.44,0.12,53.96
1992,4,0,0,0.33,0.26,0.07,76.64
1996,4,0,0,0.33,0.26,0.07,80
1997,2,0,0,0.33,0.26,0.07,75.46
2000,3,0,1,0.33,0.26,0.07,80.42
2004,2,0,0,0.33,0.26,0.07,77.01
2002,3,0,0,0.38,0.16,0.1,68.57
2006,2,0,1,0.38,0.16,0.1,38.29
1996,2,0,0,0.25,0.24,0.06,78.72
1998,2,0,0,0.25,0.24,0.06,63.16
2004,2,0,0,0.25,0.24,0.06,30.63
2000,3,0,1,0.38,0.14,0.09,36.94
2004,3,1,0,0.38,0.14,0.09,40.08
1993,1,0,0,0.28,0.3,0.11,41.03
2005,3,0,0,0.28,0.3,0.11,33.46
1988,2,0,0,0.3,0.3,0.15,83.23
1992,2,0,0,0.3,0.3,0.15,85.49
2000,3,0,0,0.3,0.3,0.15,75.97
2004,2,0,0,0.3,0.3,0.15,77.26
2008,2,0,0,0.3,0.3,0.15,76.79
1990,2,0,0,0.32,0.27,0.09,73.61
1994,2,0,0,0.32,0.27,0.09,80.23
1998,2,0,0,0.32,0.27,0.09,65.14
2007,1,0,1,0.32,0.27,0.09,56.72
2011,2,0,1,0.32,0.27,0.09,40.85
1990,2,0,1,0.4,0.31,0.23,72.62
1994,2,0,0,0.4,0.31,0.23,70.03
1994,2,0,0,0.15,0.38,0.13,45.11
1998,6,1,1,0.15,0.38,0.13,41.18
1998,5,1,1,0.15,0.38,0.13,37.76
2002,6,1,0,0.15,0.38,0.13,42.22
2006,4,1,0,0.15,0.38,0.13,27.8
2010,2,1,1,0.15,0.38,0.13,24.49
1988,4,0,0,0.31,0.08,0.04,66.05
1994,2,0,0,0.31,0.08,0.04,60.52
1998,2,0,0,0.31,0.08,0.04,54.98
2002,2,0,0,0.31,0.08,0.04,50.02
2010,2,0,0,0.31,0.08,0.04,41.74
1990,2,0,1,0.21,0.32,0.13,73.15
1994,3,0,0,0.21,0.32,0.13,76.27
1998,2,0,0,0.21,0.32,0.13,73.54
2002,2,0,0,0.21,0.32,0.13,16.74
2006,3,0,1,0.21,0.32,0.13,65.29
1988,2,0,1,0.34,0.18,0.06,64.67
1991,3,1,0,0.34,0.18,0.06,75.13
2000,2,0,1,0.34,0.18,0.06,26.17
2008,2,0,0,0.34,0.18,0.06,40.71
1997,2,0,1,0.25,0.26,0.06,59.55
2001,6,1,0,0.25,0.26,0.06,55.64
2005,2,0,0,0.25,0.26,0.06,51.78
1992,2,0,0,0.26,0.28,0.09,84.44
1996,2,0,0,0.26,0.28,0.09,84.1
2000,2,0,0,0.26,0.28,0.09,59.44
2004,3,0,1,0.26,0.28,0.09,70.05
1988,2,0,1,0.26,0.33,0.14,56.63
2003,2,0,0,0.26,0.33,0.14,47.41
1990,2,0,0,0.23,0.42,0.09,69.96
1994,3,0,0,0.23,0.42,0.09,71.42
1996,3,0,0,0.23,0.42,0.09,53.85
1998,2,1,0,0.23,0.42,0.09,63.31
2002,2,1,0,0.23,0.42,0.09,63.12
2006,2,0,0,0.23,0.42,0.09,54.31
2010,2,1,1,0.23,0.42,0.09,34.62
1994,2,0,0,0.42,0.24,0.1,74.52
2000,2,0,0,0.42,0.24,0.1,42.59
2000,2,0,1,0.3,0.36,0.1,40.21
2004,1,0,1,0.3,0.36,0.1,61.86
2006,2,0,1,0.3,0.36,0.1,37.86
2000,4,0,0,0.29,0.32,0.15,69.59
2004,2,0,0,0.29,0.32,0.15,38.23
2008,2,0,0,0.29,0.32,0.15,30.45
1994,2,0,0,0.33,0.27,0.07,80.22
2010,2,0,1,0.33,0.27,0.07,61.74
2002,2,0,1,0.41,0.19,0.12,29.76
2002,2,0,1,0.41,0.19,0.12,36.54
2006,3,0,1,0.41,0.19,0.12,28.65
2010,3,1,1,0.41,0.19,0.12,32.94
2004,2,0,0,0.25,0.19,0.09,49.68
1991,1,0,0,0.29,0.36,0.13,77.34
1995,4,1,0,0.29,0.36,0.13,66.51
